feature,importance,date
ret_21d_2633083_lag_21_roll_mean_21,0.03374471,2018-03-05
ret_21d_2656368_roll_mean_5,0.025564319,2018-03-05
ret_21d_108803915_lag_5_roll_mean_63,0.019742675,2018-03-05
ret_21d_104552804_lag_21_roll_mean_63,0.018931193,2018-03-05
ret_21d_304529785_lag_21_roll_mean_63,0.018339263,2018-03-05
ret_21d_2659551_lag_21_roll_mean_63,0.018107152,2018-03-05
ret_21d_2656368,0.015434825,2018-03-05
ret_21d_2626848_lag_5_roll_std_63,0.013709666,2018-03-05
ret_21d_206492534_lag_21_roll_mean_63,0.012609717,2018-03-05
ret_21d_25745180_lag_1_roll_std_21,0.0120321,2018-03-05
ret_21d_102371354_lag_1,0.010197398,2018-03-05
ret_21d_2633833_roll_mean_5,0.009954611,2018-03-05
ret_21d_3346316,0.0098676635,2018-03-05
ret_21d_2649166_lag_21_roll_mean_63,0.009824888,2018-03-05
ret_21d_47440465_lag_1_roll_mean_5,0.0093372995,2018-03-05
ret_21d_255215865,0.0092927525,2018-03-05
ret_21d_49677276_roll_std_63,0.009143104,2018-03-05
ret_21d_2595722_lag_21_roll_mean_63,0.009121098,2018-03-05
ret_21d_4276777_lag_21_roll_mean_21,0.00812183,2018-03-05
ret_21d_34058542,0.007880212,2018-03-05
ret_21d_2654656_lag_1_roll_std_21,0.007782568,2018-03-05
ret_21d_2628457_lag_1_roll_mean_5,0.0073274653,2018-03-05
ret_21d_10976629_lag_21_roll_std_63,0.0071948594,2018-03-05
ret_21d_23428253_roll_mean_5,0.0071549066,2018-03-05
ret_21d_2633241_lag_5_roll_std_21,0.007116618,2018-03-05
ret_21d_21919882_lag_21_roll_mean_63,0.00701877,2018-03-05
ret_21d_39561547_roll_mean_21,0.0069368626,2018-03-05
ret_21d_2595260_lag_21_roll_mean_63,0.006914099,2018-03-05
ret_21d_217608642_roll_mean_5,0.006192536,2018-03-05
ret_21d_268437076,0.0061124316,2018-03-05
ret_21d_1785031329_lag_21_roll_mean_5,0.0060075046,2018-03-05
ret_21d_214814966_roll_mean_5,0.005869238,2018-03-05
ret_21d_256385652_lag_21_roll_mean_21,0.005858345,2018-03-05
ret_21d_39734352,0.005767545,2018-03-05
ret_21d_2630874_lag_5_roll_mean_21,0.0057469644,2018-03-05
ret_21d_2656368_lag_1_roll_mean_21,0.00569212,2018-03-05
ret_21d_4027348_lag_21_roll_std_63,0.0056505776,2018-03-05
ret_21d_2630079_lag_21_roll_mean_21,0.0056410935,2018-03-05
ret_21d_2650162_lag_5_roll_mean_5,0.0055217585,2018-03-05
ret_21d_275241691_lag_1_roll_std_63,0.0054094824,2018-03-05
ret_21d_31311131_roll_std_63,0.00531073,2018-03-05
ret_21d_248647424_lag_5_roll_mean_5,0.0052747033,2018-03-05
ret_21d_3346316_roll_mean_5,0.005234788,2018-03-05
ret_21d_2628457_lag_1,0.0049388506,2018-03-05
ret_21d_254185203_roll_mean_5,0.0049330625,2018-03-05
ret_21d_2650162_roll_mean_5,0.004671958,2018-03-05
financials_4197_ytd_222487131_roll_std_63,0.0044528083,2018-03-05
ret_21d_39561547_lag_1_roll_mean_21,0.004400668,2018-03-05
ret_21d_117910962_lag_5,0.0043654363,2018-03-05
ret_21d_268437076_lag_5_roll_std_21,0.0043539484,2018-03-05
ret_21d_39561547_lag_5_roll_std_63,0.0043049813,2018-03-05
ret_21d_247112884_lag_1_roll_std_21,0.0041514863,2018-03-05
ret_21d_2613802_lag_21_roll_std_63,0.004122711,2018-03-05
ret_21d_2589447_lag_1_roll_std_5,0.004111817,2018-03-05
ret_21d_39734352_lag_5_roll_std_63,0.0040786257,2018-03-05
ret_21d_2639911_lag_21_roll_std_63,0.0039951797,2018-03-05
ret_21d_49064259_lag_21,0.0039404063,2018-03-05
ret_21d_8159376_lag_1_roll_std_63,0.003817827,2018-03-05
ret_21d_99930372_lag_21_roll_mean_63,0.0037239154,2018-03-05
ret_21d_2589783_lag_1_roll_mean_5,0.0036836856,2018-03-05
ret_21d_39458342_lag_5_roll_mean_63,0.003654399,2018-03-05
ret_21d_141443953_lag_1_roll_mean_21,0.0035746035,2018-03-05
ret_21d_47440465_lag_1,0.0035409485,2018-03-05
ret_21d_2628457_roll_mean_5,0.0034710732,2018-03-05
ret_21d_29847630_lag_21_roll_mean_63,0.0034452977,2018-03-05
ret_21d_2626760_lag_5_roll_mean_21,0.0034076644,2018-03-05
ret_21d_275241691_roll_std_63,0.0033532386,2018-03-05
ret_21d_2643269_lag_21_roll_mean_63,0.0032784818,2018-03-05
ret_21d_35289622_lag_5_roll_std_21,0.0032118536,2018-03-05
ret_21d_34205210_lag_21_roll_std_21,0.0032075713,2018-03-05
ret_21d_34969512_lag_5_roll_mean_5,0.0032065152,2018-03-05
ret_21d_2588734,0.0031920862,2018-03-05
ret_21d_2587814_lag_21_roll_std_21,0.003181451,2018-03-05
ret_21d_2642799_lag_21_roll_mean_63,0.0031770514,2018-03-05
ret_21d_23459254_lag_21_roll_mean_21,0.0031711839,2018-03-05
ret_21d_34969512_lag_5_roll_mean_63,0.0031184824,2018-03-05
ret_21d_1836807464_lag_21_roll_mean_21,0.003103656,2018-03-05
ret_21d_33611679,0.0030382096,2018-03-05
ret_21d_2662415,0.0029601462,2018-03-05
ret_21d_2595754_roll_std_63,0.002937421,2018-03-05
ret_21d_9664009_lag_5_roll_mean_63,0.0028993236,2018-03-05
ret_21d_39561547_lag_5_roll_mean_21,0.0028924004,2018-03-05
ret_21d_34058542_lag_21_roll_mean_21,0.0028298108,2018-03-05
ret_21d_235922038_lag_1_roll_mean_63,0.0028249372,2018-03-05
ret_21d_2659893_lag_1,0.0027938248,2018-03-05
ret_21d_2616069,0.0026898363,2018-03-05
ret_21d_216959685_lag_5_roll_mean_21,0.0026818227,2018-03-05
ret_21d_2631170_lag_5_roll_std_21,0.0026445005,2018-03-05
ret_21d_1776948460_lag_21_roll_mean_21,0.0026170877,2018-03-05
ret_21d_303189491_roll_mean_5,0.0026013034,2018-03-05
ret_21d_2617699_lag_1_roll_mean_21,0.002591233,2018-03-05
ret_21d_11250702_lag_5_roll_mean_5,0.0025889229,2018-03-05
volume_allday_2588003_roll_mean_21,0.0025006065,2018-03-05
ret_21d_2586546_lag_21_roll_mean_5,0.0024962423,2018-03-05
ret_21d_222340174,0.002468254,2018-03-05
ret_21d_2622900_lag_5_roll_mean_5,0.0024671268,2018-03-05
ret_21d_2595754_lag_1_roll_std_63,0.0024386118,2018-03-05
ret_21d_618650356_lag_21,0.0024177413,2018-03-05
ret_21d_2617855_lag_1,0.0023858994,2018-03-05
ret_21d_405156965_lag_21_roll_mean_21,0.0023721221,2018-03-05
ret_21d_2637676_lag_1_roll_mean_21,0.0023042369,2018-03-05
ret_21d_2638965_lag_1_roll_mean_21,0.0022201694,2018-03-05
ret_21d_670990664_lag_1,0.0021942537,2018-03-05
ret_21d_314322981_lag_21_roll_mean_63,0.0021905184,2018-03-05
ret_21d_222340174_lag_1_roll_mean_5,0.0021843337,2018-03-05
