feature,mean,std,count,cv
financials_1103_ytd_2586910,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1_roll_std_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1_roll_std_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_1_roll_std_63,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21_roll_std_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21_roll_std_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_21_roll_std_63,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5_roll_std_21,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5_roll_std_5,0.0,0.0,2,
financials_1103_ytd_2586910_lag_5_roll_std_63,0.0,0.0,2,
financials_1103_ytd_2586910_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_2586910_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_2586910_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_2586910_roll_std_21,0.0,0.0,2,
financials_1103_ytd_2586910_roll_std_5,0.0,0.0,2,
financials_1103_ytd_2586910_roll_std_63,0.0,0.0,2,
financials_1103_ytd_28067772,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1_roll_std_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1_roll_std_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_1_roll_std_63,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21_roll_std_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21_roll_std_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_21_roll_std_63,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5_roll_std_21,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5_roll_std_5,0.0,0.0,2,
financials_1103_ytd_28067772_lag_5_roll_std_63,0.0,0.0,2,
financials_1103_ytd_28067772_roll_mean_21,0.0,0.0,2,
financials_1103_ytd_28067772_roll_mean_5,0.0,0.0,2,
financials_1103_ytd_28067772_roll_mean_63,0.0,0.0,2,
financials_1103_ytd_28067772_roll_std_21,0.0,0.0,2,
financials_1103_ytd_28067772_roll_std_5,0.0,0.0,2,
financials_1103_ytd_28067772_roll_std_63,0.0,0.0,2,
financials_1269_ytd_10848661,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_21_roll_std_63,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5_roll_std_21,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5_roll_std_5,0.0,0.0,2,
financials_1269_ytd_10848661_lag_5_roll_std_63,0.0,0.0,2,
financials_1269_ytd_10848661_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_10848661_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_10848661_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_10848661_roll_std_21,0.0,0.0,2,
financials_1269_ytd_10848661_roll_std_5,0.0,0.0,2,
financials_1269_ytd_10848661_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2587089,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_1_roll_std_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_mean_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_mean_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_mean_63,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_std_21,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_std_5,0.0,0.0,2,
financials_1269_ytd_2587089_lag_21_roll_std_63,0.0,0.0,2,
