date,portfolio_value
2018-03-05,1000000.0
2018-03-05,1000471.3043403513
2018-03-06,1000854.8885942801
2018-03-07,1000813.7423919474
2018-03-08,1000316.4679743992
2018-03-09,999384.3730109761
2018-03-12,998030.7306051267
2018-03-13,996341.8917348732
2018-03-14,994479.7493322517
2018-03-15,992508.7374308265
2018-03-16,992508.7374308265
2018-03-19,990688.5152258998
2018-03-20,990688.5152258998
2018-03-21,989051.3188857074
2018-03-22,987515.4826662157
2018-03-23,987515.4826662157
2018-03-26,986087.1250568047
2018-03-27,984770.4459502659
2018-03-28,983398.0763375664
2018-03-29,981779.6366106474
2018-04-02,980130.693395402
2018-04-03,978364.6399770561
2018-04-04,976331.6260447762
2018-04-05,974066.678913681
2018-04-06,971775.5351797437
2018-04-09,969379.4881268912
2018-04-10,966888.5510977998
2018-04-11,964395.2587080358
2018-04-12,961945.1310763521
2018-04-13,959444.3470935099
2018-04-16,956764.8968617264
2018-04-17,953942.3233585486
2018-04-18,951143.2627228075
2018-04-19,948453.4511953511
2018-04-20,945870.4396393133
2018-04-23,943356.7266362931
2018-04-24,940998.7907181829
2018-04-25,938579.4043592423
2018-04-26,936018.0840967675
2018-04-27,933417.4950155738
2018-04-30,930991.1520836765
2018-05-01,928610.0901377979
2018-05-02,926609.0901315582
2018-05-03,925998.5218253781
2018-05-04,926362.6255726841
2018-05-07,926362.6255726841
2018-05-08,926362.6255726841
2018-05-09,926362.6255726841
2018-05-10,926362.6255726841
2018-05-11,926362.6255726841
2018-05-14,926362.6255726841
2018-05-15,926362.6255726841
2018-05-16,926362.6255726841
2018-05-17,925548.6501374446
2018-05-18,924751.1488991271
2018-05-21,923102.6884875526
2018-05-22,923102.6884875526
2018-05-23,923102.6884875526
2018-05-24,922573.4078910219
2018-05-25,922573.4078910219
2018-05-29,921878.3289265939
2018-05-30,921009.0884701447
2018-05-31,920116.9512103075
2018-06-01,920116.9512103075
2018-06-04,920116.9512103075
2018-06-05,920116.9512103075
2018-06-06,920116.9512103075
2018-06-07,920116.9512103075
2018-06-08,919843.6340249125
2018-06-11,919843.6340249125
2018-06-12,919637.380603608
2018-06-13,919398.7938931
2018-06-14,919024.3392404903
2018-06-15,918491.705428078
2018-06-18,917886.6303271832
2018-06-19,916866.6334642017
2018-06-20,915690.0889116792
2018-06-21,914240.5535447855
2018-06-22,913016.6848638774
2018-06-25,912436.7753646659
2018-06-26,912436.7753646659
2018-06-27,914007.863832677
2018-06-28,915729.1802601815
2018-06-29,917608.3062385326
2018-07-02,919465.5783258403
2018-07-03,921258.7438736426
2018-07-05,922969.1854738479
2018-07-06,924636.7327510181
2018-07-09,926112.2880966966
2018-07-10,927633.9948930339
2018-07-11,929252.5333491669
2018-07-12,930916.7832954868
2018-07-13,932586.5264164621
2018-07-16,934344.8048267431
2018-07-17,936151.561136746
2018-07-18,937984.3075444541
2018-07-19,939906.6260842178
2018-07-20,942039.9268842511
2018-07-23,944339.6372002997
2018-07-24,946855.1852131182
2018-07-25,949456.9980103826
2018-07-26,952107.94211497
2018-07-27,954595.1793496743
2018-07-30,956884.5504318154
2018-07-31,958809.672772526
2018-08-01,960564.6602817989
2018-08-02,962106.9833607511
2018-08-03,963396.2678255469
2018-08-06,964426.6392937022
2018-08-07,965275.5047032718
2018-08-08,965861.5197949441
2018-08-09,966164.0457244362
2018-08-10,966431.1797570656
2018-08-13,966692.7668483066
2018-08-14,966875.4594130034
2018-08-15,967013.2219236383
2018-08-16,967208.6209378595
2018-08-17,967194.39465641
2018-08-20,966804.4677930574
2018-08-21,966200.5352490066
2018-08-22,965308.6642581736
2018-08-23,964178.1832559241
2018-08-24,964178.1832559241
2018-08-27,964178.1832559241
2018-08-28,965112.706026668
2018-08-29,965112.706026668
2018-08-30,965112.706026668
2018-08-31,966623.9611117347
2018-09-04,968262.5090848932
2018-09-05,970035.1103289807
2018-09-06,972078.2151650073
2018-09-07,974197.5915267173
2018-09-10,976375.244520782
2018-09-11,978818.3257624934
2018-09-12,981512.6979586636
2018-09-13,984416.7234875745
2018-09-14,987573.6469790825
2018-09-17,990960.7523393487
2018-09-18,994399.0752875593
2018-09-19,997802.1567810542
2018-09-20,1001210.2570476206
2018-09-21,1004650.8106600799
2018-09-24,1008032.2641051062
2018-09-25,1011321.8471557435
2018-09-26,1014411.8185117636
2018-09-27,1017156.5442679633
2018-09-28,1019683.6332878144
2018-10-01,1021739.7901225783
2018-10-02,1023386.5129901972
2018-10-03,1024276.081925457
2018-10-04,1024337.7089700643
2018-10-05,1023206.7982109465
2018-10-08,1021084.9358293443
2018-10-09,1017803.7489198623
2018-10-10,1013672.5044332211
2018-10-11,1013672.5044332211
2018-10-12,1013672.5044332211
2018-10-15,1013672.5044332211
2018-10-16,1007877.3447379891
2018-10-17,1004974.6591855237
2018-10-18,1004974.6591855237
2018-10-19,1000356.2102412521
2018-10-22,1000356.2102412521
2018-10-23,1000356.2102412521
2018-10-24,1001570.7905921885
2018-10-25,1003913.9700169791
2018-10-26,1006456.0532308107
2018-10-29,1009040.4196806365
2018-10-30,1011544.4758460328
2018-10-31,1013974.765658732
2018-11-01,1015949.8731686148
2018-11-02,1017139.1234307946
2018-11-05,1017277.2081535178
2018-11-06,1016408.7478184449
2018-11-07,1014378.4008876097
2018-11-08,1011642.9166526167
2018-11-09,1008603.5553397709
2018-11-12,1005346.608483428
2018-11-13,1002032.0064898427
2018-11-14,998767.2529157804
2018-11-15,995607.690340507
2018-11-16,992558.1604750885
2018-11-19,989734.9690843611
2018-11-20,987155.2868384469
2018-11-21,984788.5728163387
2018-11-23,984788.5728163387
2018-11-26,986762.7382576837
2018-11-27,988583.36973793
2018-11-28,990334.0109316792
2018-11-29,992010.3799566906
2018-11-30,993613.3221301478
2018-12-03,995138.7479431959
2018-12-04,996326.2753208221
2018-12-06,997067.5811605494
2018-12-07,997356.3435960446
2018-12-10,997356.3435960446
2018-12-11,997356.3435960446
2018-12-12,997356.3435960446
2018-12-13,997356.3435960446
2018-12-14,997312.1768098731
2018-12-17,997400.9684878279
2018-12-18,997841.4998608794
2018-12-19,998794.146866997
2018-12-20,1000021.7122089065
2018-12-21,1001742.4780576873
2018-12-24,1003518.7359093332
2018-12-26,1005312.6335329217
2018-12-27,1006916.1044454655
2018-12-28,1008374.0671240061
2018-12-31,1009588.1753265915
2019-01-02,1010640.6621983283
2019-01-03,1011766.5547327624
2019-01-04,1012809.8175849902
2019-01-07,1013803.7455399584
2019-01-08,1014583.7243638075
2019-01-09,1015374.9342889764
2019-01-10,1016016.84297487
2019-01-11,1016792.9286430931
2019-01-14,1017878.7597437336
2019-01-15,1019232.1440922484
2019-01-16,1020790.7939793029
2019-01-17,1022465.7688487767
2019-01-18,1024197.5925571676
2019-01-22,1025927.9401533009
2019-01-23,1027955.0859388752
2019-01-24,1030107.468365045
2019-01-25,1032551.3552140072
2019-01-28,1035205.4675875311
2019-01-29,1036553.14304793
2019-01-30,1038010.3609565932
2019-01-31,1038667.189039748
2019-02-01,1039090.5006272936
2019-02-04,1039090.5006272936
2019-02-05,1039090.5006272936
2019-02-06,1039090.5006272936
2019-02-07,1040147.8342512058
2019-02-08,1040147.8342512058
2019-02-11,1040580.0344144951
2019-02-12,1041139.0421184291
2019-02-13,1041481.4690994233
2019-02-14,1041804.1489461194
2019-02-15,1041804.1489461194
2019-02-19,1041804.1489461194
2019-02-20,1041804.1489461194
2019-02-21,1041343.417294169
2019-02-22,1040914.6496010933
2019-02-25,1040442.3474168951
2019-02-26,1040442.3474168951
2019-02-27,1040442.3474168951
2019-02-28,1040442.3474168951
2019-03-01,1040442.3474168951
2019-03-04,1040442.3474168951
2019-03-05,1040442.3474168951
2019-03-06,1042406.816201031
2019-03-07,1044170.1695964657
2019-03-08,1045835.033219237
2019-03-11,1047482.3341245101
2019-03-12,1049115.7737867497
2019-03-13,1050750.3569841364
2019-03-14,1052486.0332969483
2019-03-15,1054382.15624868
2019-03-18,1056463.1078928923
2019-03-19,1058668.438429936
2019-03-20,1060987.7990418577
2019-03-21,1063193.8529812347
2019-03-22,1065472.3998942012
2019-03-25,1067741.2878572026
2019-03-26,1070067.7563515727
2019-03-27,1072358.0453893133
2019-03-28,1074645.7081340426
2019-03-29,1076657.3128366182
2019-04-01,1078474.4974700254
2019-04-02,1080151.8479813526
2019-04-03,1081779.6225884755
2019-04-04,1083296.3850736255
2019-04-05,1084644.4987419886
2019-04-08,1084644.4987419886
2019-04-09,1085662.1575821273
2019-04-10,1084573.4011105278
2019-04-11,1083612.2586659242
2019-04-12,1082836.305170117
2019-04-15,1082279.9977661823
2019-04-16,1082185.203497347
2019-04-17,1082478.5938274965
2019-04-18,1082915.3991894592
2019-04-22,1083358.341443372
2019-04-23,1083971.1389938376
2019-04-24,1084561.2399606921
2019-04-25,1085136.15877096
2019-04-26,1085979.6185159595
2019-04-29,1087111.106682402
2019-04-30,1088351.5462740231
2019-05-01,1089747.68866504
2019-05-02,1091249.1408273042
2019-05-03,1092594.4902848075
2019-05-06,1093672.1158456956
2019-05-07,1094274.5015521476
2019-05-08,1094285.0172133893
2019-05-09,1093847.3907799518
2019-05-10,1093194.5215191112
2019-05-13,1093799.717280863
2019-05-14,1094574.7825472755
2019-05-15,1095284.3277979346
2019-05-16,1096053.9040394528
2019-05-17,1097046.5388800204
2019-05-20,1098084.2483821325
2019-05-21,1099004.8514646215
2019-05-22,1100006.2327936064
2019-05-23,1100968.9928574099
2019-05-24,1101727.0170249902
2019-05-28,1102541.951452838
2019-05-29,1103507.2935757902
2019-05-30,1104697.8704259607
2019-05-31,1106100.2160227615
2019-06-03,1107759.5871008402
2019-06-04,1107759.5871008402
2019-06-05,1109085.9364139999
2019-06-06,1110075.9978445664
2019-06-07,1110756.0501350341
2019-06-10,1111248.9881392778
2019-06-11,1111852.3366881607
2019-06-12,1112628.4228297598
2019-06-13,1113423.426531589
2019-06-14,1114315.5112974013
2019-06-17,1115186.859209585
2019-06-18,1116049.0401021806
2019-06-19,1116840.3322905796
2019-06-20,1117642.9867174614
2019-06-21,1118555.9084628904
2019-06-24,1119671.0979717115
2019-06-25,1120880.3645210373
2019-06-26,1122146.8221079188
2019-06-27,1123324.7487518876
2019-06-28,1124293.128008562
2019-07-01,1124849.4687898224
2019-07-02,1125215.6002431293
2019-07-03,1125011.4314213963
2019-07-05,1125309.8492433738
2019-07-08,1126173.0743517892
2019-07-09,1127423.3553973495
2019-07-10,1129239.674412929
2019-07-11,1131313.8151848975
2019-07-12,1133765.7515765931
2019-07-15,1136299.5157230247
2019-07-16,1138887.0292185731
2019-07-17,1141365.3689383636
2019-07-18,1143542.6790095794
2019-07-19,1145426.1614583721
2019-07-22,1147057.5967051203
2019-07-23,1148523.648301354
2019-07-24,1150072.1742165973
2019-07-25,1151764.002906908
2019-07-26,1153533.2116073694
2019-07-29,1155425.4197899778
2019-07-30,1157374.5152072797
2019-07-31,1158992.4837632913
2019-08-01,1160536.7850574916
2019-08-02,1161559.5922574745
2019-08-05,1161559.5922574745
2019-08-06,1161720.401652051
2019-08-07,1162260.9876112342
2019-08-08,1163339.046390872
2019-08-09,1164771.7768753807
2019-08-12,1166676.6998818205
2019-08-13,1168815.4890505231
2019-08-14,1171208.5820239573
2019-08-15,1173846.8605057618
2019-08-16,1176344.5151408238
2019-08-19,1178502.983290845
2019-08-20,1180179.5433133028
2019-08-21,1181445.7138968597
2019-08-22,1182405.780182754
2019-08-23,1183069.6528659288
2019-08-26,1183569.2086372296
2019-08-27,1183940.7856320422
2019-08-28,1184063.40596493
2019-08-29,1183889.3996591594
2019-08-30,1183479.2088906085
2019-09-03,1182608.150574818
2019-09-04,1183685.7772151846
2019-09-05,1184972.692747881
2019-09-06,1186430.5259780488
2019-09-09,1187892.731145928
2019-09-10,1189292.8888324169
2019-09-11,1190675.145949034
2019-09-12,1192066.6419145644
2019-09-13,1193407.267252439
2019-09-16,1194860.550639957
2019-09-17,1196389.7701107247
2019-09-18,1197847.3307019318
2019-09-19,1199120.6883979863
2019-09-20,1200221.9515009478
2019-09-23,1201091.80117456
2019-09-24,1201548.4089087346
2019-09-25,1201779.7733278885
2019-09-26,1201630.7362154198
2019-09-27,1201630.7362154198
2019-09-30,1200770.3800643454
2019-10-01,1201610.8577250303
2019-10-02,1203112.548367155
2019-10-03,1204972.8629357095
2019-10-04,1206946.460490837
2019-10-07,1209135.0783575666
2019-10-08,1211680.2603935862
2019-10-09,1214032.4149990093
2019-10-10,1216191.5387774373
2019-10-11,1218212.3809616093
2019-10-14,1219982.4093637709
2019-10-15,1221630.5452188347
2019-10-16,1223202.4016896635
2019-10-17,1224681.3490301566
2019-10-18,1226101.940887019
2019-10-21,1227483.9154341207
2019-10-22,1228709.6009793617
2019-10-23,1229736.3054578064
2019-10-24,1230609.2869499447
