date,weights,portfolio_return,prediction,actual_return
2018-03-05,{'primary_asset': np.float32(0.02)},0.00047130434035132945,0.04726916,0.011188900101393713
2018-03-06,{'primary_asset': np.float32(0.02)},0.0003834035541697244,0.05007728,-0.019391203300664635
2018-03-07,{'primary_asset': np.float32(0.02)},-4.111105695901501e-05,0.0401244,-0.053345968429896654
2018-03-08,{'primary_asset': np.float32(0.02)},-0.0004968700932900125,0.042985488,-0.054571065821306344
2018-03-09,{'primary_asset': np.float32(0.02)},-0.0009318000785396616,0.030394908,-0.0918306874640399
2018-03-12,{'primary_asset': np.float32(0.02)},-0.001354476257989807,0.021185584,-0.09448014712302985
2018-03-13,{'primary_asset': np.float32(0.02)},-0.0016921712112306837,0.012694636,-0.10381494349790141
2018-03-14,{'primary_asset': np.float32(0.02)},-0.0018689793313609033,0.013073046,-0.097547999450444
2018-03-15,{'primary_asset': np.float32(0.02)},-0.0019819527775690993,0.013073046,-0.08281442800464361
2018-03-16,{},0.0,0.0006146042,-0.0764861064351738
2018-03-19,{'primary_asset': np.float32(0.02)},-0.001833960887476474,0.013008071,-0.07282675480177059
2018-03-20,{},0.0,0.008252369,-0.08531360707702136
2018-03-21,{'primary_asset': np.float32(0.02)},-0.001652584354244805,0.016386554,-0.07070520154988642
2018-03-22,{'primary_asset': np.float32(0.02)},-0.0015528377447815848,0.015076196,-0.0578777750814609
2018-03-23,{},0.0,0.0073878085,-0.06767100743907543
2018-03-26,{'primary_asset': np.float32(0.02)},-0.00144641540763955,0.01713471,-0.05503626891767909
2018-03-27,{'primary_asset': np.float32(0.02)},-0.0013352563613109481,0.02467929,-0.05752384487372125
2018-03-28,{'primary_asset': np.float32(0.02)},-0.0013935934189974464,0.033253364,-0.08528946629749472
2018-03-29,{'primary_asset': np.float32(0.02)},-0.001645762551159792,0.025600696,-0.12092005953115212
2018-04-02,{'primary_asset': np.float32(0.02)},-0.0016795451379884392,0.027934657,-0.07611665433501213
2018-04-03,{'primary_asset': np.float32(0.02)},-0.001801855028361539,0.027430713,-0.08561374219441394
2018-04-04,{'primary_asset': np.float32(0.02)},-0.002077971595874031,0.029475968,-0.12655298829476597
2018-04-05,{'primary_asset': np.float32(0.02)},-0.0023198543104362237,0.029475968,-0.14576014628966769
2018-04-06,{'primary_asset': np.float32(0.02)},-0.0023521426033097427,0.028709019,-0.1289921329299568
2018-04-09,{'primary_asset': np.float32(0.02)},-0.002465638376468652,0.03355959,-0.10449059825894651
2018-04-10,{'primary_asset': np.float32(0.02)},-0.0025696201122479057,0.0347003,-0.11160917672027082
2018-04-11,{'primary_asset': np.float32(0.02)},-0.0025786760913996936,0.03355959,-0.128816983133317
2018-04-12,{'primary_asset': np.float32(0.02)},-0.0025405844850026355,0.036432628,-0.13623724447754984
2018-04-13,{'primary_asset': np.float32(0.02)},-0.0025997158279121605,0.032782216,-0.14377496898776024
2018-04-16,{'primary_asset': np.float32(0.02)},-0.002792710426509351,0.040881388,-0.15273924898668545
2018-04-17,{'primary_asset': np.float32(0.02)},-0.002950122347126477,0.040826533,-0.15096215775415997
2018-04-18,{'primary_asset': np.float32(0.02)},-0.002934203218792526,0.03852199,-0.12483720096087422
2018-04-19,{'primary_asset': np.float32(0.02)},-0.0028279772699607054,0.0396627,-0.10968075667601083
2018-04-20,{'primary_asset': np.float32(0.02)},-0.0027233930698258363,0.04254449,-0.11762891836963313
2018-04-23,{'primary_asset': np.float32(0.02)},-0.002657565875489942,0.04025848,-0.1362824500348737
2018-04-24,{'primary_asset': np.float32(0.02)},-0.002499516727376094,0.04140378,-0.11144986984252972
2018-04-25,{'primary_asset': np.float32(0.02)},-0.0025710833879968352,0.039155364,-0.14272886651596933
2018-04-26,{'primary_asset': np.float32(0.02)},-0.0027289329497096355,0.0401201,-0.14914314798626427
2018-04-27,{'primary_asset': np.float32(0.02)},-0.002778353458526591,0.03765463,-0.12998404585003046
2018-04-30,{'primary_asset': np.float32(0.02)},-0.0025994187433318536,0.03932428,-0.09154877023631362
2018-05-01,{'primary_asset': np.float32(0.02)},-0.002557555934392708,0.035849847,-0.10098416737381671
2018-05-02,{'primary_asset': np.float32(0.02)},-0.002154833366007012,0.032248035,-0.04204822216915757
2018-05-03,{'primary_asset': np.float32(0.009047052)},-0.0006589276024622883,0.013794898,0.02539817533481834
2018-05-04,{'primary_asset': np.float32(-0.02)},0.000393201218710767,-0.0354356,0.08588267764235434
2018-05-07,{},0.0,-0.0063144336,0.09179137178678454
2018-05-08,{},0.0,-0.007816514,0.07564866780956327
2018-05-09,{},0.0,-0.0024507465,0.09797376867312531
2018-05-10,{},0.0,-0.007818494,0.10236344420623043
2018-05-11,{},0.0,-0.0028861281,0.13336238234697342
2018-05-14,{},0.0,-0.004215913,0.12857373772359304
2018-05-15,{},0.0,-0.0029903871,0.11516726596090153
2018-05-16,{},0.0,-0.009731735,0.10007896605674291
2018-05-17,{'primary_asset': np.float32(-0.007680221)},-0.000878679053719724,-0.012011948,0.06985786367523147
2018-05-18,{'primary_asset': np.float32(-0.0084835)},-0.0008616524244285025,-0.012655923,0.06916232795827575
2018-05-21,{'primary_asset': np.float32(-0.02)},-0.0017825989332773428,-0.019673806,0.06638331970199171
2018-05-22,{},0.0,-0.008393979,0.08694592823473672
2018-05-23,{},0.0,-0.0034100965,0.06734280201953652
2018-05-24,{'primary_asset': np.float32(-0.007132386)},-0.0005733713086654264,-0.0142656015,0.08711478879838172
2018-05-25,{},0.0,-0.00110501,0.10476539419963823
2018-05-29,{'primary_asset': np.float32(-0.008222271)},-0.0007534131793555081,-0.015849153,0.08698504517896385
2018-05-30,{'primary_asset': np.float32(-0.010270076)},-0.0009429014970568935,-0.01823078,0.08784481014731352
2018-05-31,{'primary_asset': np.float32(-0.010363046)},-0.000968651961208063,-0.01861887,0.07564866780956327
2018-06-01,{},0.0,-0.000526934,0.09233199701000663
2018-06-04,{},0.0,0.00044450734,0.08616773394903013
2018-06-05,{},0.0,0.0011086076,0.09683658751040557
2018-06-06,{},0.0,0.0033715488,0.08983224057057718
2018-06-07,{},0.0,-0.0042887526,0.08015945818609127
2018-06-08,{'primary_asset': np.float32(-0.0034362702)},-0.00029704613640199536,-0.011596267,0.05422572408772646
2018-06-11,{},0.0,-0.0070018843,0.0747600752091094
2018-06-12,{'primary_asset': np.float32(-0.0029916842)},-0.00022422661164926805,-0.010963087,0.05077229708487986
2018-06-13,{'primary_asset': np.float32(-0.003584013)},-0.0002594356379373678,-0.012098372,0.07701700298246617
